source_id,authority,source_title,source_class,official_url,final_url,http_status,content_type,byte_size,sha256,marker_hits,verification_state,extract_state,error,attempts
R018-EU-BRUSSELS1,European Union,Regulation (EU) No 1215/2012 Brussels I bis,BINDING_REGULATION,https://eur-lex.europa.eu/eli/reg/2012/1215/oj/eng,https://eur-lex.europa.eu/eli/reg/2012/1215/oj/eng,202,text/html; charset=UTF-8,2035,b8d0770f3e0be2a25859571470778294ca2910db8eac979d5f2cc402166c2492,,HTTP_BODY_ACQUIRED_MARKERS_NOT_VERIFIED,HTML_TEXT_OK,,https://eur-lex.europa.eu/eli/reg/2012/1215/oj/eng=>202/2035/hits=0 || https://data.europa.eu/eli/reg/2012/1215/oj/eng=>202/2035/hits=0 || https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32012R1215=>202/2035/hits=0
R018-EU-ROME2,European Union,Regulation (EC) No 864/2007 Rome II,BINDING_REGULATION,https://eur-lex.europa.eu/eli/reg/2007/864/oj/eng,https://eur-lex.europa.eu/eli/reg/2007/864/oj/eng,202,text/html; charset=UTF-8,2035,2202cb18923e3374c32057059564971691a4e08f1dc19ff938ecaa5f050b597b,,HTTP_BODY_ACQUIRED_MARKERS_NOT_VERIFIED,HTML_TEXT_OK,,https://eur-lex.europa.eu/eli/reg/2007/864/oj/eng=>202/2035/hits=0 || https://data.europa.eu/eli/reg/2007/864/oj/eng=>202/2035/hits=0 || https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32007R0864=>202/2035/hits=0
R018-EU-ROME1,European Union,Regulation (EC) No 593/2008 Rome I,BINDING_REGULATION,https://eur-lex.europa.eu/eli/reg/2008/593/oj/eng,https://eur-lex.europa.eu/eli/reg/2008/593/oj/eng,202,text/html; charset=UTF-8,2035,66a869a5b2c18642c0fc65237ab1fc618e3e6154ea956438e812560d83a0ec45,,HTTP_BODY_ACQUIRED_MARKERS_NOT_VERIFIED,HTML_TEXT_OK,,https://eur-lex.europa.eu/eli/reg/2008/593/oj/eng=>202/2035/hits=0 || https://data.europa.eu/eli/reg/2008/593/oj/eng=>202/2035/hits=0 || https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32008R0593=>202/2035/hits=0
R018-US-FRCP,United States,Federal Rules of Civil Procedure pamphlet Dec. 1 2025,OFFICIAL_CURRENT_RULES_PDF,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-civil-procedure.pdf,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-civil-procedure.pdf,200,application/pdf,415707,bd8705fc038d87e4fe222a7ea2e4324222c9430e2373fce56826bd2dfa2f8baf,Territorial Limits of Effective Service | Serving an Individual in a Foreign Country | Rule 4. Summons,BODY_MARKERS_VERIFIED,PDF_TEXT_OK,,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-civil-procedure.pdf=>200/415707/hits=3
R018-US-1391,United States,28 U.S.C. §1391 Venue generally,BINDING_STATUTE,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section1391&num=0&edition=prelim,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section1391&num=0&edition=prelim,200,text/html;charset=UTF-8,168514,b69535d16f3b75e6171a485d234040193ef463916b7ade50820231a6be549bc0,Venue generally | a civil action may be brought,BODY_MARKERS_VERIFIED,HTML_TEXT_OK,,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section1391&num=0&edition=prelim=>200/168514/hits=2
R018-US-1782,United States,28 U.S.C. §1782 Assistance to foreign and international tribunals,BINDING_STATUTE,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section1782&num=0&edition=prelim,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section1782&num=0&edition=prelim,200,text/html;charset=UTF-8,152813,ad4ed669f4411bab3b71ceb8a1f3871faec549a2af7d0bc0579eadcd6033bd54,Assistance to foreign and international tribunals | resides or is found,BODY_MARKERS_VERIFIED,HTML_TEXT_OK,,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section1782&num=0&edition=prelim=>200/152813/hits=2
R018-EU-EJUSTICE-JUR,European Union,European e-Justice portal jurisdiction overview,OFFICIAL_INSTITUTIONAL_GUIDANCE,https://e-justice.europa.eu/topics/court-procedures/civil-cases/jurisdiction_en,https://e-justice.europa.eu/topics/court-procedures/civil-cases/jurisdiction_en,403,text/html,986,e77875f01ea79317a42fa40d7a8fcc712cfbd34427bfdd1d53d187607d8deef7,,HTTP_BODY_ACQUIRED_MARKERS_NOT_VERIFIED,HTML_TEXT_OK,HTTPError:403,https://e-justice.europa.eu/topics/court-procedures/civil-cases/jurisdiction_en=>403/986/hits=0
R018-EU-EJUSTICE-LAW,European Union,European e-Justice portal applicable-law overview,OFFICIAL_INSTITUTIONAL_GUIDANCE,https://e-justice.europa.eu/topics/court-procedures/civil-cases/which-countrys-law-applies_en,https://e-justice.europa.eu/topics/court-procedures/civil-cases/which-countrys-law-applies_en,403,text/html,986,38ad43fc697879d0223eb96afa952612c96615d2914163671574051d67ca1452,,HTTP_BODY_ACQUIRED_MARKERS_NOT_VERIFIED,HTML_TEXT_OK,HTTPError:403,https://e-justice.europa.eu/topics/court-procedures/civil-cases/which-countrys-law-applies_en=>403/986/hits=0
R018-EU-EJUSTICE-ENF,European Union,European e-Justice portal recognition/enforcement overview,OFFICIAL_INSTITUTIONAL_GUIDANCE,https://e-justice.europa.eu/topics/court-procedures/civil-cases/recognition-and-enforcement-court-decisions_en,https://e-justice.europa.eu/topics/court-procedures/civil-cases/recognition-and-enforcement-court-decisions_en,403,text/html,986,43de1ed131b482e5188692184ac5d8ec8c047c355ea8ac9ade644a7a0280e0a7,,HTTP_BODY_ACQUIRED_MARKERS_NOT_VERIFIED,HTML_TEXT_OK,HTTPError:403,https://e-justice.europa.eu/topics/court-procedures/civil-cases/recognition-and-enforcement-court-decisions_en=>403/986/hits=0
R018-EU-AIA,European Union,Regulation (EU) 2024/1689 consolidated 2026-07-27,BINDING_REGULATION,CONTROLLED_REPOSITORY_SNAPSHOT,86_NOTEBOOKLM/downloads/Current consolidated AI Act.pdf,REPOSITORY,application/pdf,1309163,1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf,third country,CONTROLLED_REPOSITORY_MARKERS_NOT_VERIFIED,PDF_TEXT_OK,,repository-controlled
